date,region,total_orders,revenue,gross_margin,net_profit,marketing_spend,r_and_d_spend,operational_costs,customer_satisfaction,active_customers,new_customers,repeat_customers,refunds,support_tickets,avg_resolution_hours,employee_count,avg_salary,inventory_turnover,delivery_delay_days,co2_emissions_tons,energy_consumption_mwh,governance_score,environmental_score,social_score
2011-01-01,Asia-Pacific,2970,467614,0.433,55198,76396,47696,357046,3.99,46903,4033,9323,61,789,36.3,1146,4202,5.5,0.88,1364,2946,66.3,86.4,60.0
2011-01-02,Latin America,6806,427497,0.273,113170,18880,38975,106823,4.84,26152,4163,10810,151,1596,27.7,322,7062,2.02,0.58,5265,2944,77.4,62.2,66.7
2011-01-03,North America,7143,346085,0.312,105494,88218,45359,126370,4.32,41145,2577,4513,73,1092,18.7,522,7149,7.57,0.64,2727,3064,73.1,93.5,58.0
2011-01-04,Asia-Pacific,4824,435742,0.447,60775,46827,35202,318663,3.49,52980,1257,12236,182,1411,11.9,905,3318,7.49,1.61,3300,1693,83.0,58.0,94.2
2011-01-05,Asia-Pacific,3822,631843,0.33,124102,63567,27298,313565,3.96,41028,528,4389,201,950,30.8,1138,7525,7.15,2.83,1444,1373,72.2,75.4,65.7
2011-01-06,Latin America,1906,555263,0.474,98246,57383,18134,340485,4.52,30243,3117,2633,167,957,17.7,1087,5424,6.22,2.15,1249,2301,62.0,69.9,75.1
2011-01-07,North America,1368,291673,0.475,66619,63198,45836,319562,3.92,33413,777,13015,163,1999,33.0,338,5566,4.07,2.04,1998,1532,73.3,78.7,94.9
2011-01-08,North America,5263,468877,0.312,134556,64442,46764,265117,3.73,29381,2468,10215,241,638,34.4,1070,3956,6.61,1.21,4509,1363,91.0,92.6,73.4
2011-01-09,Asia-Pacific,4125,418235,0.259,125919,41644,10288,274888,4.89,40515,3782,13546,169,1649,15.4,1070,4749,2.9,2.48,2472,1097,84.7,59.4,64.0
2011-01-10,Europe,3565,388532,0.412,146995,75566,14159,232399,4.79,47933,3840,6620,60,898,15.1,562,5059,3.84,1.53,1937,511,73.5,60.3,77.6
2011-01-11,Asia-Pacific,2871,641277,0.354,50806,32107,32698,105043,4.8,56937,2764,5083,224,1690,36.7,684,6657,2.32,1.48,3968,2751,67.4,68.4,86.8
2011-01-12,Asia-Pacific,1123,493643,0.273,74194,27696,17183,285099,3.42,35146,3115,8917,299,1175,17.1,995,5910,8.02,2.98,1548,1152,79.8,80.6,77.7
2011-01-13,Asia-Pacific,3393,246001,0.413,88360,62321,9095,230377,3.6,32246,1215,8531,117,1076,28.9,710,6478,7.8,1.91,4610,1167,92.7,60.9,59.9
2011-01-14,Asia-Pacific,5986,354452,0.257,71809,66274,25146,192185,3.95,43590,1243,8999,381,1963,16.4,1004,5987,5.16,2.63,4862,1933,80.3,60.2,58.7
2011-01-15,Latin America,7891,230081,0.45,61841,32661,33969,192432,4.61,20905,651,12092,213,1445,29.8,881,6755,5.06,1.67,5232,2767,91.1,86.7,82.3
2011-01-16,North America,4947,344941,0.282,59809,84548,47174,128844,4.45,43017,2109,9446,224,1055,8.6,767,5796,8.48,0.65,5511,2061,84.7,86.8,88.2
2011-01-17,Latin America,5947,477081,0.279,160948,72525,32165,259482,4.64,15078,1847,11157,37,858,33.8,978,4044,6.73,2.96,965,1898,64.2,82.2,81.5
2011-01-18,Latin America,7303,530254,0.29,151845,42539,11664,310720,4.77,28875,3583,14963,284,1245,39.4,407,7968,6.97,2.04,3100,675,84.6,71.4,54.2
2011-01-19,Latin America,6456,304159,0.471,65279,36223,8263,178485,4.53,25301,1213,13947,185,619,31.1,1070,3467,4.51,0.62,2420,2038,81.2,77.9,64.5
2011-01-20,Asia-Pacific,3505,538816,0.409,59550,45430,47471,285182,3.65,18564,1771,3603,363,1688,15.6,486,3742,4.04,2.27,3119,1596,72.6,79.6,80.8
2011-01-21,Europe,7996,233685,0.434,52933,47729,22048,110647,3.69,40362,509,5677,81,1947,23.1,557,3444,2.8,1.43,2342,2356,93.4,82.2,82.0
2011-01-22,North America,6148,297694,0.341,142631,70340,27996,351950,3.8,48554,923,5638,371,602,27.4,1063,7815,2.51,2.5,5359,2937,71.5,64.3,70.9
2011-01-23,Europe,1959,382386,0.327,52915,87236,48805,174265,3.72,21663,1458,4246,80,1398,9.3,651,5258,8.34,0.98,4811,1114,62.9,75.6,63.4
2011-01-24,Latin America,2742,600036,0.304,49551,70189,22721,385239,3.62,29364,949,7226,292,1774,12.8,806,4272,8.34,2.84,3775,2316,68.7,94.9,54.1
2011-01-25,Latin America,3353,306443,0.361,85894,81448,9667,116374,4.48,37640,2695,7432,60,1704,32.5,575,3106,3.59,1.03,5121,866,75.3,62.0,52.4
2011-01-26,Europe,3787,333864,0.377,41958,69310,20935,355069,3.26,29468,1028,13382,93,1621,37.9,784,3670,2.26,2.99,1325,2843,91.1,58.1,55.1
2011-01-27,Europe,2157,533058,0.395,112780,49307,10256,152638,4.44,54364,1827,8902,63,604,12.3,583,6536,4.43,2.16,5628,995,61.0,57.8,65.2
2011-01-28,Europe,3548,505936,0.309,81474,30486,48564,207159,4.6,20607,1686,13007,132,329,7.6,896,5752,8.66,2.92,2479,2068,87.9,81.7,77.4
2011-01-29,Latin America,5139,692478,0.468,55335,30931,19750,310146,3.31,34051,2243,5998,236,307,39.3,1087,4700,4.14,2.23,3768,547,69.7,87.6,88.2
2011-01-30,Latin America,4443,528199,0.289,46724,38634,48400,293114,3.31,44433,3059,7220,26,1744,14.2,995,6677,8.06,2.31,4143,2337,81.1,64.5,61.3
2011-01-31,North America,6869,234377,0.472,92033,21665,17433,296681,3.69,26298,1422,9156,229,307,31.6,619,5015,7.71,0.54,3429,690,73.2,56.4,53.4
2011-02-01,North America,5802,315091,0.253,43848,19936,19510,253144,3.55,19063,772,6115,81,1514,16.4,1025,6873,8.61,0.24,3441,2757,69.2,83.6,93.5
2011-02-02,Latin America,4931,515813,0.361,110286,22835,39274,365692,4.19,45729,2787,9880,123,1451,38.1,855,6189,5.48,0.44,3771,487,77.8,84.9,77.8
2011-02-03,Europe,4663,360778,0.327,131665,29951,33476,159735,4.35,40192,1327,7184,360,822,24.8,768,7228,8.45,1.42,1309,444,73.1,65.5,56.4
2011-02-04,Europe,3980,541301,0.353,138739,66763,37096,215104,4.28,30842,257,11473,138,555,17.8,945,3157,7.19,1.33,1683,1393,73.8,55.6,61.3
2011-02-05,North America,6957,499212,0.381,51584,24262,10834,231830,3.81,18814,1395,13960,114,532,8.8,675,6244,8.08,0.71,2325,909,65.6,87.0,68.8
